"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalization"
"CD79A",64.8570139255479,-0.774560606909367,0.327640376524771,-2.36405724814813,0.018076019105031,0.50139736052076,"RUVseq"
"CCND3",204.315230799094,0.313509129359844,0.153568043997,2.0414997886277,0.0412011748626345,0.566579187405298,"RUVseq"
"CXCL6",25.4936376669713,-0.882639246964048,0.41220606210856,-2.14125731787902,0.0322532930679103,0.517955866120723,"RUVseq"
"GOT1",105.783106857677,-0.465177274120863,0.233816920537736,-1.98949363053384,0.0466467441606008,0.566579187405298,"RUVseq"
"S100A9",1541.02445057541,-1.95868563500653,0.692387076935856,-2.8288882046653,0.00467100125925759,0.243896610581999,"RUVseq"
"WNT4",130.61824419463,0.686454465887783,0.277420147907708,2.47442181494385,0.013345202735832,0.467607689508806,"RUVseq"
"CXCL8",366.046610791155,-3.08739780829238,0.786576047444511,-3.92511037975662,8.66899779537747e-05,0.0687186111879663,"RUVseq"
"C5AR1",99.8483580086899,-0.619552938800231,0.246890648534019,-2.50942246083032,0.0120928761621103,0.443588684673773,"RUVseq"
"NFIL3",961.608838896313,-0.374488081912776,0.160595078568796,-2.33187769669015,0.0197071261046987,0.50139736052076,"RUVseq"
"CD58",11.1085130665504,0.576913564814474,0.290483438131377,1.98604632513869,0.0470281803316607,0.566579187405298,"RUVseq"
"MAGEC1",12.3559962168003,0.646413846983839,0.304872028952837,2.120279283095,0.0339824997049857,0.522797127362333,"RUVseq"
"BRD3",445.061299509431,0.372685015146877,0.15719041558693,2.37091437003533,0.0177441415058186,0.50139736052076,"RUVseq"
"HDAC3",350.730458247683,0.312302970974562,0.148112072579231,2.10855850935108,0.0349827074071449,0.522797127362333,"RUVseq"
"GZMB",183.034523684747,-0.833188144904565,0.256952262540803,-3.24257952300481,0.00118452885986909,0.119489348739295,"RUVseq"
"CCL22",16.499619921746,0.747159067216022,0.354331915467992,2.10864174125888,0.0349755170403455,0.522797127362333,"RUVseq"
"CCL3/L1",56.644852983736,-1.09146770554123,0.37660463273829,-2.89817917959525,0.00375336090593988,0.243896610581999,"RUVseq"
"MMP1",149.324916623363,-1.16880832449447,0.538557506202988,-2.17025723535999,0.0299873643361255,0.517934343070156,"RUVseq"
"DEFB134",34.2577349452309,-0.757763881460761,0.335579659896805,-2.25807452601204,0.0239410135086342,0.50139736052076,"RUVseq"
"CX3CR1",190.04019711997,0.50829855623934,0.236208364852538,2.15190751841775,0.0314046389871918,0.517955866120723,"RUVseq"
"CLECL1",50.4507029151108,0.656986122830951,0.293402842628167,2.23919481129076,0.0251432433140179,0.50139736052076,"RUVseq"
"ERO1A",609.243438156919,-0.471048291351937,0.207820023163501,-2.26661648950613,0.0234136638871452,0.50139736052076,"RUVseq"
"ITGA2",156.645391367231,0.469550201223737,0.216590093403524,2.16792095079312,0.0301647015170971,0.517934343070156,"RUVseq"
"KSHV_LANA",11.9471872134622,0.973429231326984,0.383043711585767,2.54130064502841,0.0110440907679326,0.424408630939125,"RUVseq"
"CXCL5",20.2967658143097,-1.09716905530303,0.483118900576809,-2.27101248573197,0.0231462221187779,0.50139736052076,"RUVseq"
"MAGEA4",12.0888083006019,0.919586316735031,0.429849313771693,2.13932251901524,0.0324095571472099,0.517955866120723,"RUVseq"
"CCL5",2136.00743540117,-0.5718352837021,0.272729205539234,-2.09671451420643,0.0360188548917115,0.528494834502021,"RUVseq"
"EPCAM",146.591182349757,-1.07092036891302,0.487456293802018,-2.19695669648688,0.0280235390347458,0.508256476548944,"RUVseq"
"MAGEA1",14.8862849959874,0.71885982700442,0.35559079843158,2.02159288197312,0.0432184280233519,0.566579187405298,"RUVseq"
"MLANA",24.4177212163151,0.85603585761029,0.244007301564043,3.5082386966425,0.000451084122955179,0.0988866497744695,"RUVseq"
"IL10",30.8694390994752,0.6227236342996,0.284020899435959,2.19252750602605,0.0283414392127664,0.508256476548944,"RUVseq"
"KIT",127.652965416343,0.498836110878836,0.225426829939551,2.21285155370637,0.0269078816560953,0.508256476548944,"RUVseq"
"TNFRSF25",34.8992418821659,0.759400440054441,0.325597516880234,2.33232872084149,0.0196834047215121,0.50139736052076,"RUVseq"
"DTX3L",483.376106603016,-0.376150330972733,0.166860090593459,-2.2542857889799,0.0241781947660178,0.50139736052076,"RUVseq"
"KSHV_ORF74",46.7981769122189,1.03247543632989,0.443390710215153,2.32859059187074,0.0198807649465241,0.50139736052076,"RUVseq"
"BLK",21.4962903761621,0.909403631741153,0.352809831666967,2.57760286170137,0.00994882661541341,0.422563319928348,"RUVseq"
