"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalization"
"ZEB1",4511.48312471501,-0.416297748605246,0.210059398106607,-1.98180968029801,0.0475005456222199,0.314087350184748,"RUVseq"
"GZMK",325.491580287516,0.712890488360784,0.338268547495477,2.1074690320427,0.0350769432979613,0.282645465721482,"RUVseq"
"RPL7A",8399.5655362886,-0.409035410122439,0.193495051716004,-2.11393214707521,0.0345210630691794,0.282645465721482,"RUVseq"
"GPR160",96.6428294584939,-0.500749461895408,0.218818763576471,-2.28842103716764,0.0221130136947231,0.282645465721482,"RUVseq"
"KIF2C",43.57164916623,-0.538095209714808,0.245534938408198,-2.19152196100187,0.0284140423096416,0.282645465721482,"RUVseq"
"RPTOR",444.231150315945,-0.271829837379552,0.134910167734337,-2.01489511090696,0.0439156403896881,0.308065925410589,"RUVseq"
"IL32",1678.25153727563,0.616781363883631,0.296585970461698,2.07960397763752,0.0375618718571062,0.285966326308346,"RUVseq"
"EIF4EBP1",1198.20807004785,-0.446639809178174,0.197616572879397,-2.26013336164246,0.023812975145419,0.282645465721482,"RUVseq"
"EDN1",168.414959317805,0.422211532798469,0.185053903403558,2.28155972412929,0.0225153468601246,0.282645465721482,"RUVseq"
"MTOR",1524.87452399924,-0.369974744734004,0.136465131272839,-2.71113024465056,0.00670542814413451,0.170074624486406,"RUVseq"
"CD45RA",80.6780904246712,0.847114167855556,0.221717801654379,3.82068630274472,0.000133080833524434,0.0460880511866319,"RUVseq"
"S100A9",1494.89268186982,2.49523078338194,0.696407155076907,3.58300566729011,0.000339663235553526,0.0460880511866319,"RUVseq"
"CXCL8",343.444803795243,3.34091544763768,0.814430230269503,4.10215058757353,4.09327717677436e-05,0.033032746816569,"RUVseq"
"FGF9",17.828028820558,1.17350437626995,0.399964473638121,2.93402152845133,0.00334600999298351,0.142117371807247,"RUVseq"
"DEPTOR",873.185077424765,-0.418271780804987,0.188173293515188,-2.22280097771274,0.0262292231409539,0.282645465721482,"RUVseq"
"COMP",854.228976489682,1.14779884195451,0.476771188047817,2.40744170522191,0.0160647267043166,0.254200675497715,"RUVseq"
"RASGRF1",46.6428363255437,0.778026772398283,0.293255345504095,2.65306936199537,0.00797634781570539,0.181704779495375,"RUVseq"
"HDAC5",626.754413062071,-0.391611206690475,0.178135566432901,-2.19838864597534,0.0279214221115016,0.282645465721482,"RUVseq"
"TNFSF4",49.0519866517601,0.570139782306355,0.290372592046073,1.96347657431764,0.0495908238462511,0.317617419396227,"RUVseq"
"SREBF1",708.962661452715,-0.466640211494508,0.16865367400607,-2.76685470532775,0.00565999745612233,0.170074624486406,"RUVseq"
"RIPK1",552.012885316119,-0.275888032944731,0.114108354895009,-2.41777241638945,0.0156158402035742,0.252039660885687,"RUVseq"
"APC",706.242957290624,-0.513234665519812,0.172716026745037,-2.9715520626088,0.00296298632394657,0.142117371807247,"RUVseq"
"ARID1A",3139.70508757728,-0.371151867063679,0.178132851477095,-2.08356776409321,0.0371995017867321,0.285904742303741,"RUVseq"
"SELL",330.62622729868,0.599972562512343,0.237861108031901,2.52236512087498,0.0116568644186124,0.218769525251632,"RUVseq"
"KSHV_K4",67.8983087510121,-1.49496289309972,0.667970229134538,-2.23806814719375,0.0252166114574811,0.282645465721482,"RUVseq"
"CXCL9",622.544771384568,1.03600447488404,0.381583126977901,2.71501647121844,0.00662724742496975,0.170074624486406,"RUVseq"
"TRAT1",136.114308361062,0.734025767856527,0.26451705072656,2.774965794607,0.00552075139422806,0.170074624486406,"RUVseq"
"CCL3/L1",54.1538383348356,0.820713883595821,0.409126250691374,2.00601619233406,0.0448545204334253,0.308065925410589,"RUVseq"
"DEFB134",34.6914067586108,0.970718621082202,0.324508822582261,2.99134739498841,0.00277749322926403,0.142117371807247,"RUVseq"
"MXI1",788.135395868469,-0.424781352613757,0.197555161978368,-2.15019110794114,0.0315401012333886,0.282645465721482,"RUVseq"
"FZD9",30.6679575331958,0.891078550263653,0.421778880379726,2.11266754148861,0.0346292333138649,0.282645465721482,"RUVseq"
"BRCA2",392.420449964908,-0.456671145602521,0.225144158702587,-2.02834996134978,0.042524543226925,0.306404521286862,"RUVseq"
