"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KSHV_vIRF-2",29.9169004059785,-0.308149471348671,0.453812635887126,-0.679023559461476,0.497122934411637,0.825145742431896
"CCNO",48.1696434209606,0.0247245061007663,0.281069572952669,0.0879657866948471,0.929903868957966,0.982928732725899
"MYC",1641.59276400959,-0.336560934261914,0.155803303317281,-2.16016558760974,0.0307598531084926,0.344199247903419
"CD79A",62.8264801156871,0.258654699035982,0.347343690485271,0.744665028101182,0.456474245737978,0.813189219228582
"FSTL3",22.9073892359764,-0.195828841032237,0.154343223992244,-1.26878806835134,0.204516661798716,0.635462067034666
"VCAN",12867.4251892522,-0.141190704064447,0.223259326615816,-0.632406745127415,0.527121127531911,0.837375491965063
"CX3CL1",1082.54030372401,0.0926259944416604,0.212013906158612,0.436886410518586,0.662193727806607,0.902482860046095
"ERBB2",505.155760589603,-0.0918025490556298,0.217836798657785,-0.421428104072759,0.673442500645092,0.908664959006149
"FAM124B",55.1535272215185,0.127154535199831,0.215700713727351,0.589495199170069,0.55552913169816,0.860483703033426
"AKT1",1150.17004320392,-0.162903770044329,0.156858719388142,-1.03853818697339,0.299019566507319,0.705736366133786
"KDR",597.495824167114,-0.127761638545757,0.258111690665386,-0.494985865291109,0.620610098013803,0.882106160813462
"EGF",7.78413340899161,-0.590819859613404,0.319073524343082,-1.85167309268232,0.064072780085527,0.426268385434262
"MAGEA12",9.44227893279383,0.638980024565452,0.337239374762647,1.89473730644642,0.0581272126628448,0.426268385434262
"IFNA1",16.5083848550073,0.578587840188456,0.352520260609282,1.64128960754893,0.100737312346072,0.455639848325892
"TGFB3",2415.89857425213,0.0441384577397827,0.216755866379037,0.203632125289742,0.838640986751216,0.961259906102686
"MFGE8",1090.07821561796,-0.258445871265575,0.205009481142613,-1.26065326259613,0.20743379975097,0.636498389349935
"CXCL2",14.7943199959474,-0.521386159070006,0.275974719812921,-1.88925333241916,0.0588578915176113,0.426268385434262
"CCND2",376.180814552043,-0.0149063759863703,0.307684567588874,-0.0484469406547815,0.961360049967814,0.982928732725899
"PDZK1IP1",263.898698414943,0.376758336908911,0.352371322735138,1.0692082828548,0.284975827282344,0.693201497704391
"JAG2",95.4115571196247,0.219001547365481,0.260447965930598,0.840864879028614,0.400423635722407,0.773066684277469
"C5",37.5204123603817,-0.258139760748453,0.164309576413457,-1.57105730769391,0.116169337960466,0.477384013434506
"CD79B",26.0393702686442,0.269070538536065,0.208304058180288,1.29172009843026,0.196454094598872,0.624167143075942
"CXCR2",106.681238642742,-0.233347443357717,0.341357348756055,-0.683586992364634,0.49423600077672,0.824718025827413
"PSMB10",800.104271981224,-0.008135015390433,0.18968027858755,-0.0428880400799188,0.965790782612903,0.982928732725899
"ZEB1",4511.48312471501,-0.379184286576312,0.207367265016872,-1.82856386009364,0.0674649708344445,0.426268385434262
"ANLN",324.881863810507,-0.473605269940676,0.262102699694968,-1.80694540915394,0.0707707913945591,0.426268385434262
"TAF3",570.329600355582,-0.356321703829896,0.180364079702922,-1.97556910675781,0.0482036004574037,0.411853335551241
"CD276",7364.68934762501,-0.348280767130535,0.202910838331492,-1.7164226908449,0.0860847064636886,0.445703452325948
"ICAM1",377.857788036753,0.16425016505267,0.148422752353384,1.10663737498684,0.268450741347802,0.67758867027879
"IL16",248.201094952556,-0.162799644841673,0.168715949770857,-0.964933339514019,0.334578201255894,0.726428047903957
"CXCL3",60.1657542710978,-0.476658304472565,0.398987061370738,-1.19467108240298,0.232215564946036,0.668100287813565
"PRR5",129.741084867787,-0.181193314244546,0.16424547170675,-1.10318605658764,0.269946375217146,0.67758867027879
"CTSW",500.478719973161,-0.222984280894459,0.25418861624782,-0.87723944599101,0.380356594831221,0.752171016996456
"CXCR4",934.642978114872,0.0753717820314838,0.386003102794304,0.19526211443862,0.845187754461829,0.961259906102686
"IFNGR2",613.789260390876,-0.0604535536615889,0.167261550280389,-0.361431264748219,0.717777079491686,0.913637386671594
"CDH11",819.156210320117,0.0641457666365384,0.225709458978799,0.28419618267998,0.776260040694793,0.939193182669712
"COL6A3",5683.73903028836,0.014391265438804,0.199192161688146,0.0722481513169924,0.942404426055753,0.982928732725899
"GZMK",325.491580287516,0.271697959337236,0.344254608194145,0.789235504391591,0.429974374348575,0.788612091134772
"IRF2",2973.90601691008,-0.268919591456559,0.145229944059866,-1.85168143661687,0.064071581203865,0.426268385434262
"RPL7A",8399.5655362886,-0.345893264868392,0.192476818419561,-1.79706453851712,0.0723253745696509,0.426268385434262
"GPR160",96.6428294584939,-0.407107903143104,0.218113549731828,-1.86649524361805,0.0619721089005904,0.426268385434262
"MICA",643.78238208658,-0.345235631344795,0.372070008336002,-0.927878150912467,0.353470779237241,0.726778370527182
"TAPBPL",528.824946784036,0.030698080281147,0.168502116360645,0.18218216449842,0.855439769430524,0.961259906102686
"KSHV_K2",72.9715581106221,-0.0723488854997209,0.361540830690405,-0.200112627283514,0.84139249796132,0.961259906102686
"CXCL14",8718.20150142418,0.125355886849002,0.281815439153737,0.444815540360148,0.65645306287559,0.901255485019236
"CD14",670.386867580037,-0.204536950512962,0.206083174411958,-0.99249708811305,0.320955099209677,0.723493757157009
