"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KSHV_vIRF-2",30.1917777371556,-0.433437819774016,0.462779022245529,-0.936597812214691,0.348965477797436,0.7022821460911
"CCNO",48.4509410227499,-0.0553983292473638,0.284991891697723,-0.194385632929242,0.845873938626864,0.949996607613282
"MYC",1633.48616508821,-0.31730139963002,0.16164923557237,-1.96290071219028,0.0496577120170336,0.33675439998106
"CD79A",61.0670177533318,0.42793632496201,0.348944471790339,1.22637370572569,0.220058076264246,0.597935580960427
"FSTL3",22.6494389398148,-0.195503302766058,0.163319750679935,-1.19705854284087,0.231283737246205,0.619038527036314
"VCAN",12680.326088975,-0.0986345997669214,0.229299880074169,-0.430155479082751,0.667082545258044,0.889810932269821
"CX3CL1",1091.16589936654,0.0649867687336745,0.218261890210999,0.29774675125763,0.765896458435636,0.928811935223514
"ERBB2",511.228297518434,-0.130692936333695,0.221361097464526,-0.590406073292257,0.5549184398691,0.836569950018335
"FAM124B",55.1113034563625,0.104716776221275,0.221440399818415,0.472889212208542,0.636292221777132,0.868904791375818
"AKT1",1149.8892906109,-0.180689228237658,0.162991191462516,-1.10858278055604,0.267610209877828,0.644661013048977
"KDR",600.907638650525,-0.154707257161154,0.265927743008429,-0.581764262017034,0.560725479388354,0.836569950018335
"EGF",7.79550567964358,-0.604679110673203,0.332356081186317,-1.81937128550455,0.0688548044446423,0.367985610508784
"MAGEA12",9.47169450284073,0.55772462788814,0.34573280842871,1.61316662547269,0.106708312159435,0.436961272672578
"IFNA1",16.4467457637647,0.533117279596571,0.36432093967892,1.46331770022995,0.143380466610271,0.488219563521051
"TGFB3",2425.55481129618,0.03875185922886,0.222766671256131,0.173957167875908,0.86189912400009,0.949996607613282
"MFGE8",1088.6087574619,-0.268119719302034,0.213120030165651,-1.25806907541085,0.208366776085691,0.573897570993694
"CXCL2",13.6561860877606,-0.426603901904709,0.28365473435371,-1.50395480927438,0.132593003002746,0.474944388111551
"CCND2",374.09568620465,0.0564636850321848,0.314829175985438,0.179347053383631,0.857665202493682,0.949996607613282
