"gene","SB 12 5422","SB 14 5182","SB 16 638","SB 17 2867","SB 17 5114","SB 17 5284","SB 18 4726","SB 18 4918","SB 18 5511","SB 18 5577","SB 18 6283","SB 18 6898","SB 19 2016","SB 19 473","SB 19 4896","SB 19 5090","SB 19 5476","SB 19 5736","SB 19 5920","SB 19 7845","SB 19 7860","SB 19 7884","SB 19 7967","SB 20 1637","SB 20 1639","SB 20 3779","SB 20 6585","SB 21 10183","SB 21 11056","SB 21 11361","SB 21 2796","SB 21 3933","SB 21 4614","SB 21 6978","SB 21 7662","SB 21 8797","SB 21 9542","SB 22 1215","SB 22 1394","SB 22 2594","SB 22 2794","SB 22 2963","SB 22 696"
"KSHV_vIRF-2",19.4441877338914,23.4733233984001,107.864772769039,7.16287720513048,10.8617912683617,5.0181840024933,137.42928836099,20.450929458125,27.2265403433039,162.138534275256,5.17741639615627,12.8358438528217,27.0255957513499,35.5413589807887,33.2858363355743,21.8965037326764,184.28992022373,50.4265805282269,11.4955526420513,9.39072071078746,22.7910500899351,9.20553168970352,12.4741010771937,20.6223285391912,28.1933138471536,61.3200313216419,7.32479364304258,27.4963575894674,9.1925623646612,7.3829180521051,29.10300903141,7.47875233045737,7.55283085176211,11.8050091120583,26.6640380757469,5.20151248354112,17.3461782821086,9.1911263049627,13.7690269174905,13.738936750456,11.7171640858667,10.2923121137852,4.12807493417909
"CCNO",19.4441877338914,49.2939791366402,133.658522779026,48.3494211346307,29.191064033722,39.4285885910188,36.1656022002606,30.6763941871875,128.353690189861,24.0799803379093,131.161215369292,73.5921714228444,13.5127978756749,37.2611021572785,104.850384457059,22.504739947473,40.8237165052567,30.8734166499348,25.4544379931136,39.1280029616144,43.8938742472824,24.5480845058761,32.8862664762379,48.6475442462971,71.9415594720471,30.6600156608209,49.4423570905374,144.355877344704,56.6874679154107,26.4554563533766,58.9718867215413,57.7903589171706,33.3583362619493,46.5642026086746,17.7760253838313,128.737433967643,34.6923565642171,25.9514154493064,30.5313205561745,23.5524630007818,5.02164175108574,10.2923121137852,10.7329948288656
"MYC",806.933790956495,1061.77666172096,837.124432142322,1475.55270425688,1974.13056302474,2473.24782980027,1731.42820533748,899.8408961575,1011.27149846557,3774.93825097292,2977.01442778986,1645.55518193174,1602.87521468125,1615.98533817489,1882.31404477673,1332.64554661928,1618.36876145839,2276.39992098853,1647.14847142535,2023.7003131747,1382.65703878939,821.133426721554,2006.62925964493,2317.63246121218,1968.67105312021,868.70044372326,1628.54578663647,2199.70860715739,1245.59220041159,2161.34925975377,2131.41247722142,1238.07345397844,1870.58444095308,1686.14880150567,1324.31389109543,1557.20279976012,924.487057331638,1300.81469939649,2037.21733044435,1703.62815705655,1235.32387076709,1327.10283255395,983.30744932146
"CD79A",58.3325632016743,20.3435469452801,30.4835227390761,17.9071930128262,15.6138249482699,83.8753611845308,35.2614621452541,25.5636618226563,35.0055518699622,17.6586522478002,67.3064131500316,239.602418586005,32.1733282754165,33.821615804299,18.8619739234921,21.2882675178799,53.6540274069088,19.5531638782921,124.808857256557,43.8233633170081,16.0381463595839,101.260848586739,44.2263583645958,29.0827710168081,7.77746588886996,30.6600156608209,17.0911851670993,10.3111340960503,91.1595767828902,368.530659434246,22.9760597616395,15.6373912364109,20.1408822713656,17.0516798285287,21.5851736803666,68.9200404069199,17.9886293295941,136.785585597386,542.978583224515,27.4778735009121,33.4776116739049,44.8018292011825,20.6403746708955
"FSTL3",48.6104693347286,14.8664381523201,16.4142045518102,25.0700702179567,16.9715488568151,22.223386296756,40.6863024752932,46.0145912807813,46.6740691599495,12.8426561802183,24.1612765153959,15.403012623386,28.3125288823665,17.7706794903944,23.8548493738283,19.4635588734902,18.079074452328,26.7569610966102,28.7388816051282,10.955840829252,32.9204056854618,17.1836591541132,23.8141929655516,23.7949944682975,17.4992982499574,30.6600156608209,18.92238357786,20.6222681921005,25.2795465028183,9.22864756513138,13.0197671982624,25.8356898688527,18.8820771294053,23.6100182241167,19.0457414826764,22.7566171154924,31.4801013267896,15.1383256787621,18.5582536714002,21.5897577507166,20.9235072961906,16.3466133571882,14.0354547762089
"VCAN",2381.9129974017,14918.8619079098,10204.9454584969,11401.5097912664,10599.0716920582,25174.795373651,14771.8402186964,23467.4415531984,6596.6017746062,4408.24173385994,11462.79990109,2276.22297656705,22385.5583474693,12232.5332143718,18632.8564167156,15628.021302983,12815.1478069501,14031.9678673954,17936.346565212,6058.57997857638,21104.5123832799,16925.9042668015,14911.0868240018,12712.3436002742,10961.3659871261,4966.92253705299,10525.1180655819,4564.39535985159,16872.9482203356,7630.24580685062,7047.52339755354,14648.156269064,14895.4412448168,10768.7916455554,19947.2399128564,9854.26540006866,16749.3412589945,18684.4784690121,9094.14295233033,18700.6556226207,11854.4222937297,13827.4186098082,8667.30613180242
"CX3CL1",1156.92917016654,495.287123706242,468.977272908864,1672.53182739797,661.89040541579,600.031430012413,857.124772146176,311.876674236406,1264.08937308197,433.439646082368,1382.37017777373,593.015986000362,782.45534365813,1462.35494774181,804.962475381973,766.377630643676,445.561705857373,679.215166298567,499.235429026227,1003.24199593579,1520.2474522953,1376.533838667,1570.03572194315,689.526061925777,2191.30101418911,776.720396740797,1268.41009918687,749.275744312986,1472.34207207324,1766.97838713715,1788.30331811427,1183.68252793875,669.054932951927,935.874889050403,1667.13723778361,3164.47015717433,768.371452792661,878.563543856728,2045.59847726369,717.368768898812,652.813427641146,1298.04218658561,1057.61279813668
"ERBB2",437.494224012557,105.6299552928,96.140340946317,325.910912833437,427.004169237469,582.109344289222,152.799669296101,178.945632758594,291.712932249685,75.4506050587826,949.193005961984,909.633467703298,264.464758423924,280.89138549333,690.681103963168,434.280657364749,232.695184079963,332.403785930965,155.189960667692,1286.52873737788,296.283651169156,287.21258871875,357.779899077692,419.849457951738,312.070818790907,398.580203590672,442.539615933822,828.327772382705,916.192049011233,1080.98225146239,812.586646903315,367.818637343403,397.782424859471,750.273912455264,666.600951893673,1502.58691868294,256.980418994201,588.77273800614,1511.59969420276,444.552739139756,224.299998215163,402.005602561961,246.85888106391
"FAM124B",19.4441877338914,48.5115350233602,110.209659133583,73.4194913525874,57.0244041588989,36.5610548753083,122.058907425879,40.90185891625,77.7901152665826,18.4613182590638,25.8870819807814,41.0747003290294,73.998655033458,34.3948635297956,26.0739051295332,74.2048182051813,118.388777865244,16.4658222132986,44.3399887621978,34.4326426062207,55.7114557753969,49.0961690117521,40.2573262036705,68.2123174757862,38.8873294443498,51.1000261013682,52.4943544418051,134.044743248654,29.8758276851489,41.2212924575868,35.2299583011805,55.7506991906822,135.321552760738,66.8950516349973,39.3611990641978,30.5588858408041,74.5243215083183,34.0612327772147,29.3340138676971,31.4032840010424,86.2048500603052,38.1420978334391,60.2698940390148
"AKT1",2216.63740166362,1424.83073028289,813.675568496878,832.684475096418,1492.13857549119,1344.15642923928,1257.65881651406,741.346192857032,404.508599386229,1568.40938600916,912.95109118889,1156.937392601,1221.94300790032,1250.25328930807,770.567111168546,1128.27817844763,1355.34738797452,1227.73286877908,921.286433170111,1101.84456339906,1153.90242492375,1195.49171543616,1289.93545230071,1222.53393801564,1063.56846030297,521.220266233956,870.429644581559,354.015603964393,1323.72898051121,1242.17596226668,1047.70832513076,1198.64003259967,1022.77917784279,1368.06938931965,991.648273198017,1716.49911956857,1239.28807059953,1218.63521714035,1050.63661913895,1987.23906569096,1247.87797514481,1023.78234025945,964.318304624236
"KDR",301.384909875317,717.501251877763,161.797159153558,453.051983224503,747.427011654139,192.1247589526,639.227018889606,357.891265517188,490.07772617947,1740.98257843084,189.838601192397,383.363869737608,848.732399905488,899.99892902965,267.950982501374,907.488432476479,1356.51377987467,417.820238662452,321.054363074432,309.893783455986,906.57732579964,980.695976009748,458.706716884077,737.644828517223,571.643742831942,204.400104405473,385.162065729989,154.667011440754,646.543552981171,511.267075108278,644.095541984626,601.69961931407,788.64142143816,758.799752369528,599.305998654883,633.934333931574,846.108029538406,304.388477040823,351.409513068126,199.214582881613,1352.49551162576,521.880767181342,828.917446783162
"EGF",0,2.34733233984001,4.68977272908864,14.325754410261,7.46748149699866,7.88571771820375,3.61656022002606,5.11273236453125,11.6685172899874,7.2239941013728,10.3548327923125,6.84578338817157,7.72159878609996,5.73247725496593,3.88334757248367,4.86588971837254,3.49917570045057,16.4658222132986,5.74777632102565,17.2163213031103,9.28524262923281,6.13702112646901,6.23705053859684,5.81655420336161,1.94436647221749,0,6.10399470253548,3.43704469868342,21.4493121842095,12.9201065911839,4.59521195232789,8.83852548144962,8.18223342274229,1.96750151867639,5.07886439538037,37.7109655056731,7.70941256982603,9.1911263049627,4.19057340967101,10.7948788753583,0,11.5031723624658,4.95368992101491
"MAGEA12",9.72209386694572,13.3015499257601,65.6568182072409,7.16287720513048,1.35772390854521,2.86753371571045,7.23312044005212,15.3381970935938,11.6685172899874,4.01333005631822,10.3548327923125,8.55722923521446,3.86079939304998,3.43948635297956,3.32858363355743,5.47412593316911,8.74793925112643,9.26202499498045,5.74777632102565,3.13024023692915,4.22056483146946,4.90961690117521,3.96903216092526,8.98922013246795,3.88873294443498,20.4400104405473,4.27279629177484,58.4297598776182,9.95860922838297,3.69145902605255,6.12694926977052,5.439092603969,5.03522056784141,5.90250455602917,7.61829659307055,4.55132342309848,10.279216759768,3.78458141969052,7.7824934751033,9.81352625032575,5.02164175108574,4.23801087038212,7.43053488152237
"IFNA1",19.4441877338914,10.17177347264,53.9323863845193,32.2329474230871,2.03658586281782,8.60260114713136,9.04140055006515,10.2254647290625,140.022207479849,7.2239941013728,24.1612765153959,9.41295215873591,5.79119908957497,8.0254681569523,8.87622302281983,9.12354322194852,25.0774258532291,8.23291110664929,14.7799962540659,7.82560059232288,10.1293555955267,7.36442535176282,7.93806432185053,8.46044247761689,5.83309941665247,71.5400365419155,7.93519311329612,48.1186257815679,19.9172184567659,8.61340439412262,13.7856358569837,14.2776180854186,7.55283085176211,9.18167375382315,3.80914829653528,5.20151248354112,12.84902094971,6.48785386232661,7.18384013086459,6.86946837522802,1.67388058369525,1.81629037302091,9.08176485519401
"TGFB3",311.107003742263,3846.49526088449,1547.62500059925,761.055703045113,3571.49274142818,1501.15390017442,5536.9536968599,1845.69638359578,762.343129612509,2355.8247430588,754.176988373431,640.936469717563,4275.19186123735,3185.53761058456,1954.98812077607,3087.40702630738,4096.36835332747,3263.32013989811,1481.28406901861,563.443242647248,2149.95572515054,5645.44573423885,2535.07754164241,3437.58353418671,2246.71545864731,1369.48069951667,1883.0823657322,1467.61808633782,1935.8004246249,734.600346184458,3490.06347779303,4788.44115121921,3360.38032646316,2825.98801465886,2100.11042748978,1149.53425886259,4095.62542772008,1274.86328394718,1021.30260527125,1861.62592968679,4855.92757329991,1802.97091028542,2509.04394499405
"MFGE8",1390.25942297324,735.497466483203,480.701704731585,1457.64551124405,678.183092318333,664.550938615898,1168.14895106842,899.8408961575,1318.54245376857,460.730290465332,1687.83774514695,212.219285033319,867.392930305229,859.871588244889,819.941101732981,1178.76178427575,653.762660034182,672.011369080248,924.570876782125,1136.27720600528,1198.64041213733,1238.45086332145,1287.66743392304,1109.90429753237,1437.85900620483,582.540297555598,714.167380196651,656.475537448534,1911.28692498581,1351.68924670624,638.734461373577,1313.54086385851,874.869573662445,1326.09602358789,813.888019359704,2537.03771384718,1714.70184573881,1040.75989041489,1625.34382960811,1341.50903841953,1784.35670221913,1100.67196605067,1006.42466895286
"CXCL2",9.72209386694572,14.8664381523201,16.4142045518102,17.9071930128262,9.50406735981648,9.31948457605898,69.6187842355016,97.1419149260938,15.5580230533165,6.42132809010916,10.3548327923125,14.5472896998646,14.7997310066916,8.0254681569523,15.5333902899347,8.51530700715195,16.9126825521778,14.4075944366363,59.1199850162638,6.26048047385831,7.59701669664503,10.4329359149973,8.50506891626842,4.7589988936595,19.4436647221749,0,9.15599205380322,30.9334022881508,9.95860922838297,8.61340439412262,7.65868658721315,10.878185207938,8.81163599372246,5.24667071647037,12.6971609884509,6.5018906044264,7.06696152234052,2.16261795410887,8.38114681934202,4.90676312516287,7.53246262662861,6.65973136774334,3.30245994734328
"CCND2",418.050036278666,147.881937409921,105.519886404494,179.071930128262,152.065077757064,351.989763603458,176.30731072627,40.90185891625,58.3425864499369,1785.12920905035,220.903099569334,2023.78471412822,450.426595855831,311.846762670146,245.205661005398,333.313445708519,251.940650432441,100.853161056454,381.816569896704,395.975389971538,302.192441933213,355.947225335203,373.089023126975,433.068899323015,192.492280749531,245.280125286567,252.705380684969,158.104056139437,393.748087952988,286.703317690081,469.477487796166,343.342720625543,506.669069639042,331.851922816751,525.662464921868,409.619108078863,351.42072297457,392.51515867076,733.949000036665,85.377678377834,277.027236601563,406.243613432344,217.962356524656
